url,source_type,scheme,title,fetched_date
https://groww.in/mutual-funds/icici-prudential-retirement-fund-pure-equity-plan-direct-growth,overview,retirement_pure_equity,ICICI Prudential Retirement Fund Pure Equity Plan,2026-06-05 13:15:45
https://groww.in/mutual-funds/icici-prudential-pharma-healthcare-and-diagnostics-(p.h.d)-fund-direct-growth,overview,pharma,ICICI Prudential Pharma Healthcare and Diagnostics Fund,2026-06-05 13:15:47
https://groww.in/mutual-funds/icici-prudential-bharat-22-fof-direct-growth,overview,bharat22,ICICI Prudential Bharat 22 FOF,2026-06-05 13:15:48
https://groww.in/mutual-funds/icici-prudential-infrastructure-fund-direct-growth,overview,infrastructure,ICICI Prudential Infrastructure Fund,2026-06-05 13:15:50
https://groww.in/mutual-funds/icici-prudential-retirement-fund-hybrid-aggressive-plan-direct-growth,overview,retirement_hybrid,ICICI Prudential Retirement Fund Hybrid Aggressive Plan,2026-06-05 13:15:51
https://groww.in/mutual-funds/icici-prudential-select-large-cap-fund-direct-growth,overview,select_large_cap,ICICI Prudential Select Large Cap Fund,2026-06-05 13:15:53
https://groww.in/mutual-funds/icici-prudential-india-equity-fof-direct-growth,overview,india_equity,ICICI Prudential India Equity FOF,2026-06-05 13:15:54
https://groww.in/mutual-funds/icici-prudential-top-100-fund-direct-growth,overview,top100,ICICI Prudential Top 100 Fund,2026-06-05 13:15:56
https://groww.in/mutual-funds/icici-prudential-diversified-equity-all-cap-omni-fof-direct-growth,overview,diversified_equity,ICICI Prudential Diversified Equity All Cap Omni FOF,2026-06-05 13:15:57
https://groww.in/mutual-funds/icici-prudential-value-direct-growth,overview,value,ICICI Prudential Value Fund,2026-06-05 13:15:59
https://groww.in/mutual-funds/icici-prudential-dynamic-plan-direct-growth,overview,dynamic,ICICI Prudential Dynamic Plan,2026-06-05 13:16:00
https://groww.in/mutual-funds/icici-prudential-balanced-direct-growth,overview,balanced,ICICI Prudential Balanced Fund,2026-06-05 13:16:02
https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,overview,large_cap,ICICI Prudential Large Cap Fund,2026-06-05 13:16:03
https://groww.in/mutual-funds/icici-prudential-bharat-consumption-fund-direct-growth,overview,consumption,ICICI Prudential Bharat Consumption Fund,2026-06-05 13:16:05
https://groww.in/mutual-funds/icici-prudential-i-come-plus-arbitrage-active-fof-direct-growth,overview,income_plus_arbitrage,ICICI Prudential Income Plus Arbitrage FOF,2026-06-05 13:16:07
https://groww.in/mutual-funds/icici-prudential-technology-fund-direct-growth,overview,technology,ICICI Prudential Technology Fund,2026-06-05 13:16:08
https://groww.in/mutual-funds/icici-prudential-india-opportunities-fund-direct-growth,overview,india_opportunities,ICICI Prudential India Opportunities Fund,2026-06-05 13:16:10
